Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
P90916	Q23482	LIN-53	LIN-37	K07A1.12	CELE_ZK418.4|ZK418.4	WBGENE00003036	WBGENE00003022	21196525:0018:LC
P90947	P90947	HMP-1	HMP-1	R13H4.4	R13H4.4	WBGENE00001978	WBGENE00001978	28298447:0114:LC|26780296:0018:LC
P91050	P91050	P91050	P91050	C16C8.11|CELE_C16C8.11	C16C8.11|CELE_C16C8.11	WBGENE00015849	WBGENE00015849	12445390:0018:LC|12445390:0398:LC
P91349	P91870	SPD-5	SPD-2	F56A3.4	F32H2.3	WBGENE00004955	WBGENE00004953	25977552:0415:LC
P91351	Q22145	SLX-1	HIM-18	F56A3.2	CELE_T04A8.15|T04A8.15	WBGENE00018909	WBGENE00011415	22927825:0018:LC|19936019:0018:LC|22927825:0004:LC|23874210:0018:LC
P91430	Q03598	UBA-5	UFC-1	T03F1.1	C40H1.6	WBGENE00020184	WBGENE00008041	23449979:0004:LC|23449979:0018:LC
Q03206	Q17850	CED-10	PAK-1	C09G12.8	C09B8.7	WBGENE00000424	WBGENE00003911	8824291:0047:LC|31462781:0018:LC
Q03565	Q19848	BAF-1	VRK-1	B0464.7	F28B12.3	WBGENE00000235	WBGENE00017895	17170708:0006:LC|17170708:0424:LC|22770216:0415:LC|17170708:0004:LC|22770216:0424:LC|17170708:0415:LC
Q03571	Q9N5M6	CPB-1	FBF-1	C40H1.1	H12I13.4	WBGENE00000770	WBGENE00001401	11040214:0096:LC|11040214:0018:LC|23159558:0004:LC|23159558:0018:LC
Q03611	Q03611	TAX-4	TAX-4	ZC84.2	ZC84.2	WBGENE00006526	WBGENE00006526	32483338:2339:LC|28279024:0090:LC|32483338:0114:LC|28099415:0114:LC
Q05062	Q17850	CDC-42	PAK-1	R07G3.1	C09B8.7	WBGENE00000390	WBGENE00003911	8824291:0047:LC|31462781:0018:LC
Q05062	Q9NAN2	CDC-42	PAR-6	R07G3.1	T26E3.3	WBGENE00000390	WBGENE00003921	20122916:0018:LC|16996049:0018:LC|11412997:0018:LC
Q09230	Q94420	Q09230	MEL-26	C05C10.5	ZK858.4	WBGENE00007332	WBGENE00003209	23918937:0018:LC|23918937:0399:LC
Q09230	Q9TZ84	Q09230	Q9TZ84	C05C10.5	CELE_F54D10.7|F54D10.7	WBGENE00007332	WBGENE00018808	12445390:0018:LC|12445390:0398:LC
Q09248	Q9NAN2	DNC-2	PAR-6	C28H8.12	T26E3.3	WBGENE00001018	WBGENE00003921	26780296:0018:LC|26780296:0090:LC
Q09260	V6CLJ5	SEL-8	LAG-1	C32A3.1	K08B4.1	WBGENE00004765	WBGENE00002245	16530045:0114:LC|15020414:0018:LC
Q09306	Q17491	TUB-1	RBG-3	F10B5.4	B0393.2|CELE_B0393.2	WBGENE00006655	WBGENE00007167	16054097:0018:LC
Q09312	Q09312	FBF-2	FBF-2	F21H12.5	F21H12.5	WBGENE00001402	WBGENE00001402	31397673:0114:LC
Q09312	Q86RT0	FBF-2	Q86RT0	F21H12.5		WBGENE00001402		31397673:0114:LC
Q09374	Q09374	Q09374	Q09374	ZK177.8	ZK177.8	WBGENE00022673	WBGENE00022673	PDB_6PWY:0114:LC
Q09377	Q27365	LIN-56	LIN-15A	ZK673.3	ZK678.1	WBGENE00003038	WBGENE00023498	21196525:0018:LC
Q09436	Q09436	MEX-6	MEX-6	AH6.5	AH6.5	WBGENE00003231	WBGENE00003231	25445286:0018:LC
Q09436	Q9N2L7	MEX-6	PLK-2	AH6.5	Y71F9B.7	WBGENE00003231	WBGENE00004043	22018922:0018:LC|18199581:0018:LC
Q09476	Q9NEZ5	PXL-1	UNC-95	C28H8.6	Y105E8A.6	WBGENE00016197	WBGENE00006824	17761533:0018:LC|21633109:0096:LC|21633109:0018:LC
Q09487	Q09487	PUF-8	PUF-8	C30G12.7|CELE_C30G12.7	C30G12.7|CELE_C30G12.7	WBGENE00004244	WBGENE00004244	30652968:0114:LC
Q09490	Q09490	LGG-1	LGG-1	C32D5.9	C32D5.9	WBGENE00002980	WBGENE00002980	26687600:0114:LC
Q09490	Q23023	LGG-1	UNC-51	C32D5.9	Y60A3A.1	WBGENE00002980	WBGENE00006786	26687600:0004:LC|26687600:0114:LC
Q09490	Q9U389	LGG-1	ALLO-1	C32D5.9	R102.5	WBGENE00002980	WBGENE00011292	29255173:0018:LC
Q09535	Q09535	PCH-2	PCH-2	F10B5.5	F10B5.5	WBGENE00008641	WBGENE00008641	25918846:0114:LC
Q09596	Q09596	GST-5	GST-5	R03D7.6	R03D7.6	WBGENE00001753	WBGENE00001753	PDB_1ZL9:0114:LC
Q09665	Q20334	TNC-2	TNI-1	ZK673.7	F42E11.4	WBGENE00006583	WBGENE00006584	17369112:0047:LC|15743415:0047:LC
Q09665	Q9GYF1	TNC-2	UNC-27	ZK673.7	ZK721.2	WBGENE00006583	WBGENE00006764	17369112:0047:LC|15743415:0047:LC
Q09665	Q9XUN9	TNC-2	TNI-3	ZK673.7	T20B3.2	WBGENE00006583	WBGENE00006585	17369112:0047:LC|15743415:0047:LC
Q10653	Q9U2G4	CYB-1	PUF-3	ZC168.4	CELE_Y45F10A.2|Y45F10A.2	WBGENE00000865	WBGENE00004239	12445390:0398:LC|12445390:0018:LC
Q10657	Q10657	TPI-1	TPI-1	Y17G7B.7	Y17G7B.7	WBGENE00006601	WBGENE00006601	12221106:0114:LC|12696058:0114:LC
Q10666	Q10953	POP-1	WRM-1	W10C8.2	B0336.1	WBGENE00004077	WBGENE00006943	10380924:0018:LC|11560894:0018:LC|10725058:0018:LC
Q10666	Q18825	POP-1	BAR-1	W10C8.2	C54D1.6	WBGENE00004077	WBGENE00000238	10952315:0004:LC|10952315:0007:LC|11560894:0018:LC|10952315:0018:LC|15935762:0018:LC|26780296:0018:LC
Q10666	Q9U9Y8	POP-1	LIT-1	W10C8.2	W06F12.1	WBGENE00004077	WBGENE00003048	21852394:0415:LC|10488343:0415:LC|10380924:0424:LC|25548171:0415:LC|10380924:0415:LC
Q10666	Q9XVI2	POP-1	SYS-1	W10C8.2	CELE_T23D8.9|T23D8.9	WBGENE00004077	WBGENE00006379	16890160:0018:LC|18477457:0114:LC|18477457:0096:LC|15935762:0019:LC|15935762:0004:LC|15935762:0018:LC|15935762:0006:LC
Q10905	Q10905	CRN-4	CRN-4	AH9.2	AH9.2	WBGENE00000797	WBGENE00000797	27529560:0114:LC|18981218:0114:LC
Q10953	Q9U9Y8	WRM-1	LIT-1	B0336.1	W06F12.1	WBGENE00006943	WBGENE00003048	10488343:0004:LC|21852394:0415:LC|10488343:0415:LC|11560894:0018:LC|10725058:0007:LC|10725058:0018:LC|10380924:0018:LC|10380924:0424:LC|10380924:0004:LC|10380924:0007:LC|16890160:0018:LC|10380924:0415:LC
Q10954	Q10954	RBM-26	RBM-26	B0336.3|CELE_B0336.3	B0336.3|CELE_B0336.3	WBGENE00015143	WBGENE00015143	24684932:0018:LC
Q17339	Q17339	GLD-1	GLD-1	T23G11.3	T23G11.3	WBGENE00001595	WBGENE00001595	20223220:0114:LC|23630077:0114:LC
Q17339	Q2YS43	GLD-1	FOG-2	T23G11.3	CELE_Y113G7B.5|Y113G7B.5	WBGENE00001595	WBGENE00001482	11076749:0018:LC|15630478:0018:LC
Q17353	Q19266	PAR-3	PKC-3	F54E7.3	F09E5.1	WBGENE00003918	WBGENE00004034	20678977:0415:LC
Q17353	Q9NAN2	PAR-3	PAR-6	F54E7.3	T26E3.3	WBGENE00003918	WBGENE00003921	20122916:0004:LC|20122916:0018:LC|16996049:0018:LC
Q17391	Q94420	CUL-3	MEL-26	Y108G3AL.1	ZK858.4	WBGENE00000838	WBGENE00003209	17403899:0004:LC|13679921:0096:LC|17403899:0415:LC|13679922:0096:LC|13679921:0018:LC|22621901:0018:LC|13679921:0006:LC|13679922:0018:LC|13679922:0019:LC|13679922:0006:LC|13679921:0004:LC|13679922:0004:LC|23918937:0399:LC|23918937:0018:LC
Q17392	Q21554	CUL-4	DDB-1	F45E12.3	M18.5	WBGENE00000839	WBGENE00010890	17145765:0018:LC|18794348:0018:LC
Q17427	Q17427	GNA-1	GNA-1	B0024.12	B0024.12	WBGENE00001646	WBGENE00001646	22868768:0114:LC
Q17549	X5LPX5	MAGU-2	PCYT-2.1	C01B7.4|CELE_C01B7.4	CELE_Y37E3.11|Y37E3.11	WBGENE00006467	WBGENE00021352	26780296:0096:LC|26780296:0018:LC
Q17581	Q94420	SWSN-9	MEL-26	C01H6.7|CELE_C01H6.7	ZK858.4	WBGENE00007256	WBGENE00003209	23918937:0399:LC
Q17635	Q21952	NDC-80	HIM-10	W01B6.9	R12B2.4	WBGENE00003576	WBGENE00001869	17129783:0004:LC|17129783:0071:LC|24231804:0018:LC
Q17850	Q95PW9	PAK-1	NCK-1	C09B8.7	CELE_ZK470.5|ZK470.5	WBGENE00003911	WBGENE00006410	31462781:0018:LC
Q17886	Q20709	NASP-1	TRA-4	C09H10.6|CELE_C09H10.6	CELE_F53B3.1|F53B3.1	WBGENE00007500	WBGENE00018740	17011494:0018:LC
Q17902	Q22799	EGAL-1	DLC-1	C10G6.1	T26A5.9	WBGENE00015680	WBGENE00001005	20005871:0018:LC|20005871:0096:LC
Q17905	Q21955	NHR-28	MDT-15	C11G6.4	R12B2.5	WBGENE00003624	WBGENE00007016	20461074:0018:LC
Q18013	Q94420	GCC-1	MEL-26	C15C7.2|CELE_C15C7.2	ZK858.4	WBGENE00002220	WBGENE00003209	23918937:0018:LC|23918937:0399:LC
Q18014	Q18014	Q18014	Q18014	C15C7.7	C15C7.7	WBGENE00015793	WBGENE00015793	21966509:0114:LC
Q18053	Q18053	HLH-26	HLH-26	C17C3.8	C17C3.8	WBGENE00001965	WBGENE00001965	19632181:0018:LC
Q18086	Q18086	GLB-6	GLB-6	C18C4.9	C18C4.9	WBGENE00015969	WBGENE00015969	20518498:0114:LC
Q18234	Q18534	FLP-21	NPR-1	C26F1.10|CELE_C26F1.10	C39E6.6|CELE_C39E6.6	WBGENE00001464	WBGENE00003807	31533726:0415:LC|14555955:0415:LC|12821653:0415:LC
Q18234	Q6F3C9	FLP-21	NPR-5	C26F1.10|CELE_C26F1.10	CELE_Y58G8A.4|Y58G8A.4	WBGENE00001464	WBGENE00021983	31533726:0415:LC|19356718:0415:LC
Q18239	Q22227	DSH-2	MIG-5	C27A2.6|CELE_C27A2.6	T05C12.6	WBGENE00001102	WBGENE00003241	26780296:0018:LC
Q18239	Q22836	DSH-2	Q22836	C27A2.6|CELE_C27A2.6	T27F2.1	WBGENE00001102	WBGENE00004806	12445390:0018:LC|12445390:0398:LC
Q18239	Q95QA6	DSH-2	PAT-12	C27A2.6|CELE_C27A2.6	T17H7.4	WBGENE00001102	WBGENE00003936	26780296:0018:LC
Q18239	Q95YF3	DSH-2	CGH-1	C27A2.6|CELE_C27A2.6	C07H6.5	WBGENE00001102	WBGENE00000479	12445390:0018:LC|12445390:0398:LC
Q18239	Q9TZK8	DSH-2	MEG-4	C27A2.6|CELE_C27A2.6	C36C9.1|CELE_C36C9.1	WBGENE00001102	WBGENE00016485	12445390:0018:LC|12445390:0398:LC
Q18241	Q94420	RAD-26	MEL-26	C27B7.4|CELE_C27B7.4	ZK858.4	WBGENE00007761	WBGENE00003209	23918937:0018:LC|23918937:0399:LC
Q18534	Q9N4V0	NPR-1	FLP-18	C39E6.6|CELE_C39E6.6	Y48D7A.2	WBGENE00003807	WBGENE00001461	31533726:0415:LC|16768454:0415:LC|14555955:0415:LC
Q18593	Q18593	CLHM-1	CLHM-1	C44B7.4	C44B7.4	WBGENE00016626	WBGENE00016626	32557855:0114:LC|32832629:0114:LC
Q18685	Q9TZC4	UNC-112	PAT-4	C47E8.7	C29F9.7	WBGENE00006836	WBGENE00003931	12015115:0018:LC|12015115:0004:LC|12781130:0588:LC|22761445:0004:LC|22761445:0018:LC|12015115:0096:LC
Q18688	Q18688	DAF-21	DAF-21	C47E8.5	C47E8.5	WBGENE00000915	WBGENE00000915	14992718:0096:LC|14992718:0018:LC|PDB_4GQT:0114:LC|14992718:0004:LC
Q18787	Q20058	RPT-1	Q20058	C52E4.4	CELE_F35G12.12|F35G12.12	WBGENE00004501	WBGENE00009445	12445390:0018:LC|12445390:0398:LC
Q18885	Q86S66	ICD-1	ICD-2	C56C10.8	Y65B4BR.5	WBGENE00002045	WBGENE00022042	25126725:0004:LC|25126725:0018:LC
Q19007	Q19007	NAP-1	NAP-1	CELE_D2096.8|D2096.8	CELE_D2096.8|D2096.8	WBGENE00017075	WBGENE00017075	31653339:0114:LC|PDB_6K02:0114:LC|PDB_6K09:0114:LC|31653339:0096:LC|30521320:0114:LC|PDB_6K00:0114:LC|PDB_6K0C:0114:LC
Q19087	Q19087	DNPP-1	DNPP-1	F01F1.9	F01F1.9	WBGENE00017163	WBGENE00017163	11731503:0018:LC
Q19088	S6F527	RABN-5	EAT-17	CELE_F01F1.4|F01F1.4	CELE_T24D11.1|T24D11.1	WBGENE00017161	WBGENE00020770	23100538:0004:LC|23100538:0018:LC
Q19266	Q9NAN2	PKC-3	PAR-6	F09E5.1	T26E3.3	WBGENE00004034	WBGENE00003921	20122916:0018:LC|18502617:0018:LC|26780296:0090:LC|16996049:0018:LC|26780296:0231:LC|20122916:0004:LC|26780296:0018:LC
Q19266	Q9XTY6	PKC-3	NUM-1	F09E5.1	T03D8.1	WBGENE00004034	WBGENE00003830	11134025:0018:LC|11134024:0019:LC|11134025:0019:LC|11134024:0018:LC
Q19537	Q95Y97	RPA-1	RPA-2	F18A1.5	CELE_M04F3.1|M04F3.1	WBGENE00017546	WBGENE00019767	15798199:0018:LC
Q19584	Q95QZ9	UFD-1	NPL-4.2	F19B6.2	F59E12.5	WBGENE00006733	WBGENE00019121	11731503:0018:LC|16647269:0018:LC
Q19672	Q19672	RDE-2	RDE-2	CELE_F21C3.4|F21C3.4	CELE_F21C3.4|F21C3.4	WBGENE00004324	WBGENE00004324	24684932:0018:LC|15653635:0018:LC
Q19749	Q9U9Y8	DLAT-1	LIT-1	F23B12.5	W06F12.1	WBGENE00009082	WBGENE00003048	26780296:0090:LC|26780296:0096:LC|26780296:0004:LC|26780296:0018:LC
Q19774	Q19774	Q19774	Q19774	CELE_F25D1.5|F25D1.5	CELE_F25D1.5|F25D1.5	WBGENE00009110	WBGENE00009110	PDB_1XHL:0114:LC
Q19848	Q19848	VRK-1	VRK-1	F28B12.3	F28B12.3	WBGENE00017895	WBGENE00017895	22770216:0424:LC|17170708:0424:LC|22770216:0415:LC
Q19872	Q22836	ATZ-1	Q22836	CELE_F28D1.2|F28D1.2	T27F2.1	WBGENE00009212	WBGENE00004806	12445390:0018:LC|12445390:0398:LC
Q19872	Q9TZK8	ATZ-1	MEG-4	CELE_F28D1.2|F28D1.2	C36C9.1|CELE_C36C9.1	WBGENE00009212	WBGENE00016485	12445390:0018:LC|12445390:0398:LC
Q19905	Q19905	SQV-4	SQV-4	F29F11.1	F29F11.1	WBGENE00005022	WBGENE00005022	PDB_2O3J:0114:LC|31616809:0114:LC
Q20010	Q20010	SAS-5	SAS-5	F35B12.5	F35B12.5	WBGENE00009385	WBGENE00009385	23064147:0071:LC|23064147:0114:LC|26023830:0114:LC|23064147:0096:LC
Q20062	Q20062	MARB-1	MARB-1	CELE_F35G2.2|F35G2.2	CELE_F35G2.2|F35G2.2	WBGENE00009436	WBGENE00009436	PDB_2B34:0114:LC
Q20305	Q20305	HTP-1	HTP-1	CELE_F41H10.10|F41H10.10	CELE_F41H10.10|F41H10.10	WBGENE00002032	WBGENE00002032	25446517:0114:LC
Q20363	Q20363	SIP-1	SIP-1	F43D9.4	F43D9.4	WBGENE00004798	WBGENE00004798	26009280:0114:LC
Q20365	Q94420	RAB-33	MEL-26	F43D9.2	ZK858.4	WBGENE00004283	WBGENE00003209	23918937:0018:LC|23918937:0399:LC
Q20646	Q20646	CEP-1	CEP-1	F52B5.5	F52B5.5	WBGENE00000467	WBGENE00000467	17581633:0114:LC
Q20709	Q9U9Y8	TRA-4	LIT-1	CELE_F53B3.1|F53B3.1	W06F12.1	WBGENE00018740	WBGENE00003048	26780296:0018:LC
Q20712	Q22227	Q20712	MIG-5	CELE_F53B3.3|F53B3.3	T05C12.6	WBGENE00018742	WBGENE00003241	26780296:0018:LC
Q20924	Q20924	SUN-1	SUN-1	F57B1.2	F57B1.2	WBGENE00006311	WBGENE00006311	19759181:0018:LC|22018921:0018:LC|19913287:0018:LC
Q21121	Q21121	MCU-1	MCU-1	K02B2.3	K02B2.3	WBGENE00019296	WBGENE00019296	27135929:0067:LC|27135929:0415:LC|27135929:0020:LC|27135929:0096:LC|27135929:0071:LC|27135929:0114:LC
Q21148	Q8IG69	ZIP-2	CEBP-2	K02F3.4	C48E7.11	WBGENE00019327	WBGENE00016754	23661758:0055:LC
Q21191	Q9N423	MKSR-1	MKSR-2	CELE_K03E6.4|K03E6.4	CELE_Y38F2AL.2|Y38F2AL.2	WBGENE00019364	WBGENE00021416	18337471:0018:LC
Q21209	Q93335	BRD-1	Q93335	K04C2.4		WBGENE00000265		14711411:0096:LC|14711411:0018:LC|14711411:0004:LC
Q21209	Q95017	BRD-1	UBC-9	K04C2.4	F29B9.6	WBGENE00000265	WBGENE00006706	14711411:0007:LC|14711411:0018:LC
Q21361	Q94126	ATF-2	CES-2	CELE_K08F8.2|K08F8.2	ZK909.4	WBGENE00000220	WBGENE00000469	23661758:0055:LC
Q21441	Q23023	VAB-8	UNC-51	K12F2.2	Y60A3A.1	WBGENE00006874	WBGENE00006786	15539493:0096:LC|15539493:0415:LC|15539493:0004:LC|20392746:0415:LC|15539493:0018:LC|15539493:0007:LC
Q21443	Q21443	LMN-1	LMN-1	DY3.2	DY3.2	WBGENE00003052	WBGENE00003052	18162544:0028:LC|18162544:0040:LC|18162544:0096:LC
Q21443	Q8WQC0	LMN-1	RGS-7	DY3.2	F56B6.2	WBGENE00003052	WBGENE00004350	26780296:0018:LC
Q21621	Q8MYM5	RIP-1	SWS-1	CELE_R01H10.5|R01H10.5	CELE_Y39B6A.40|Y39B6A.40	WBGENE00010973	WBGENE00012698	26936927:0018:LC
Q21633	Q9N2Z7	UBC-18	WWP-1	CELE_R01H2.6|R01H2.6	CELE_Y65B4BR.4|Y65B4BR.4	WBGENE00006713	WBGENE00007009	16457801:0018:LC
Q21636	Q9U9Y8	Q21636	LIT-1	CELE_R02D5.1|R02D5.1	W06F12.1	WBGENE00010976	WBGENE00003048	26780296:0018:LC
Q21701	Q21955	NHR-12	MDT-15	R04B5.4	R12B2.5	WBGENE00003611	WBGENE00007016	20461074:0018:LC
Q21738	Q21738	PAXT-1	PAXT-1	R05D11.6	R05D11.6	WBGENE00011034	WBGENE00011034	26779609:0114:LC
Q21738	Q9U299	PAXT-1	XRN-2	R05D11.6	Y48B6A.3	WBGENE00011034	WBGENE00006964	26779609:0071:LC|26779609:0096:LC|26779609:0067:LC|26779609:1235:LC|26779609:0114:LC
Q21740	Q95YF3	EDC-3	CGH-1	CELE_R05D11.8|R05D11.8	C07H6.5	WBGENE00011036	WBGENE00000479	12445390:0018:LC|12445390:0398:LC
Q21776	Q9XWH0	BUB-1	BUB-3	R06C7.8	Y54G9A.6	WBGENE00000275	WBGENE00013209	24567362:0018:LC
Q21955	Q94420	MDT-15	MEL-26	R12B2.5	ZK858.4	WBGENE00007016	WBGENE00003209	23918937:0018:LC|23918937:0399:LC
Q21955	Q95QB3	MDT-15	NHR-273	R12B2.5	CELE_T12C9.1|T12C9.1	WBGENE00007016	WBGENE00020460	20461074:0018:LC
Q21955	Q965W2	MDT-15	NHR-86	R12B2.5	Y40B10A.8	WBGENE00007016	WBGENE00003676	20461074:0018:LC
Q22046	Q9TZ84	Q22046	Q9TZ84	CELE_T01B7.5|T01B7.5	CELE_F54D10.7|F54D10.7	WBGENE00011311	WBGENE00018808	12445390:0018:LC|12445390:0398:LC
Q22156	Q8IG69	ATF-4	CEBP-2	CELE_T04C10.4|T04C10.4	C48E7.11	WBGENE00000221	WBGENE00016754	23661758:0055:LC
Q22215	Q22215	Q22215	Q22215	CELE_T05B9.1|T05B9.1	CELE_T05B9.1|T05B9.1	WBGENE00011464	WBGENE00011464	12445390:0018:LC|12445390:0398:LC
Q22227	Q22227	MIG-5	MIG-5	T05C12.6	T05C12.6	WBGENE00003241	WBGENE00003241	26780296:0018:LC
Q22227	Q3LRZ3	MIG-5	AXL-1	T05C12.6	K02B12.4	WBGENE00003241	WBGENE00010497	17601533:0018:LC
Q22227	Q94392	MIG-5	NSF-1	T05C12.6	H15N14.2	WBGENE00003241	WBGENE00003818	26780296:0090:LC|26780296:0018:LC
Q22227	Q95ZV8	MIG-5	Q95ZV8	T05C12.6	CELE_F08F8.10|F08F8.10	WBGENE00003241	WBGENE00017275	26780296:0018:LC
Q22227	Q9XVW8	MIG-5	Q9XVW8	T05C12.6	CELE_F54D5.15|F54D5.15	WBGENE00003241	WBGENE00010057	26780296:0018:LC
Q22936	Q22936	Q22936	Q22936	C50E3.13|CELE_C50E3.13	C50E3.13|CELE_C50E3.13	WBGENE00016824	WBGENE00016824	12445390:0018:LC|12445390:0398:LC
Q22936	Q9TZK8	Q22936	MEG-4	C50E3.13|CELE_C50E3.13	C36C9.1|CELE_C36C9.1	WBGENE00016824	WBGENE00016485	12445390:0018:LC|12445390:0398:LC
Q22942	Q22942	CKA-2	CKA-2	C52B9.1	C52B9.1	WBGENE00000510	WBGENE00000510	12791258:0114:LC
Q22993	Q22993	PMT-2	PMT-2	CELE_F54D11.1|F54D11.1	CELE_F54D11.1|F54D11.1	WBGENE00018811	WBGENE00018811	PDB_4INE:0114:LC
Q23023	Q23023	UNC-51	UNC-51	Y60A3A.1	Y60A3A.1	WBGENE00006786	WBGENE00006786	9242488:0018:LC|26687600:0114:LC|15539493:0415:LC
Q23064	Q94420	UNC-83	MEL-26	W01A11.3	ZK858.4	WBGENE00006815	WBGENE00003209	20005871:0018:LC|13679922:0018:LC
Q23229	Q23229	XOL-1	XOL-1	C18A11.5	C18A11.5	WBGENE00006962	WBGENE00006962	12672694:0114:LC
Q23419	Q94148	TBC-2	RAB-10	CELE_ZK1248.10|ZK1248.10	T23H2.5	WBGENE00022880	WBGENE00004273	26393361:0018:LC|23100538:0018:LC
Q23536	Q23536	LGG-2	LGG-2	ZK593.6	ZK593.6	WBGENE00002981	WBGENE00002981	26687600:0114:LC
Q23544	Q23544	FIC-1	FIC-1	ZK593.8	ZK593.8	WBGENE00014004	WBGENE00014004	27138431:0114:LC|PDB_5JJ6:0114:LC|PDB_5JJ7:0114:LC
Q23551	Q23551	UNC-22	UNC-22	ZK617.1	ZK617.1	WBGENE00006759	WBGENE00006759	22869697:0114:LC
Q27GU3	Q7JPF0	MPS-1	KVS-1	C29F5.4|CELE_C29F5.4	C53C9.3|CELE_C53C9.3	WBGENE00003403	WBGENE00002242	16222231:0415:LC|16222231:0004:LC|12533541:0096:LC|12533541:0415:LC
Q3LRZ3	Q9U2Q9	AXL-1	GSK-3	K02B12.4	Y18D10A.5	WBGENE00010497	WBGENE00001746	17601533:0004:LC|17601533:0018:LC|17601533:0096:LC
Q45EK2	Q9N5D6	CEH-60	UNC-62	F22A3.5	T28F12.2	WBGENE00017690	WBGENE00006796	31675356:0090:LC|31675356:0004:LC
Q6AHR3	Q6AHR3	Q6AHR3	Q6AHR3	CELE_R151.2|R151.2	CELE_R151.2|R151.2	WBGENE00020107	WBGENE00020107	11731503:0018:LC
Q6F3C9	Q9N4V0	NPR-5	FLP-18	CELE_Y58G8A.4|Y58G8A.4	Y48D7A.2	WBGENE00021983	WBGENE00001461	31533726:0415:LC|19356718:0415:LC|17879267:0415:LC
Q86DA5	Q86DA5	TIR-1	TIR-1	F13B10.1	F13B10.1	WBGENE00006575	WBGENE00006575	15020414:0018:LC|15048112:0018:LC
Q86DA5	Q965X6	TIR-1	SIAH-1	F13B10.1	Y37E11AR.2	WBGENE00006575	WBGENE00021369	15048112:0018:LC
Q86RT0	Q86RT0	Q86RT0	Q86RT0					31397673:0114:LC
Q8IG33	Q8IG33	BMY-1	BMY-1	CELE_F09E5.17|F09E5.17	CELE_F09E5.17|F09E5.17	WBGENE00017293	WBGENE00017293	21397184:0028:LC|21397184:0071:LC|21397184:0114:LC|PDB_3OFG:0114:LC
Q8IG69	Q94126	CEBP-2	CES-2	C48E7.11	ZK909.4	WBGENE00016754	WBGENE00000469	23661758:0055:LC
Q8IG69	Q9N5A8	CEBP-2	ZIP-11	C48E7.11	CELE_W08E12.1|W08E12.1	WBGENE00016754	WBGENE00021082	23661758:0055:LC
Q8IG69	Q9XUK2	CEBP-2	ZIP-3	C48E7.11	W07G1.3	WBGENE00016754	WBGENE00012330	23661758:0055:LC
Q8MQ03	Q8MQ03	ZEN-4	ZEN-4	CELE_M03D4.1|M03D4.1	CELE_M03D4.1|M03D4.1	WBGENE00006974	WBGENE00006974	25875822:0096:LC|25875822:0055:LC|28393873:0114:LC
Q8MQ03	Q9XUS9	ZEN-4	CYK-4	CELE_M03D4.1|M03D4.1	CELE_K08E3.6|K08E3.6	WBGENE00006974	WBGENE00000875	25875822:0096:LC|25875822:0055:LC|25875822:0071:LC|23720745:0415:LC
Q8STF6	Q9U3F4	DYC-1	ZYX-1	C33G3.1	F42G4.3	WBGENE00001116	WBGENE00006999	23427270:0018:LC|18094057:0004:LC|18094057:0018:LC
Q8WQA4	Q8WQA4	EXC-4	EXC-4	Y105E8A.22	Y105E8A.22	WBGENE00001365	WBGENE00001365	17985355:0114:LC
Q8WQC9	Q8WQC9	DRP-1	DRP-1	CELE_T12E12.4|T12E12.4	CELE_T12E12.4|T12E12.4	WBGENE00001093	WBGENE00001093	12445390:0018:LC|12445390:0398:LC
Q93413	Q93413	DRH-3	DRH-3	CELE_D2005.5|D2005.5	CELE_D2005.5|D2005.5	WBGENE00008400	WBGENE00008400	PDB_6M6Q:0114:LC|PDB_6M6S:0114:LC
Q93561	Q9GYJ9	CUP-2	SNX-1	F25D7.1	C05D9.1|CELE_C05D9.1	WBGENE00000843	WBGENE00004927	21722281:0004:LC|21722281:0018:LC
Q93576	Q93576	NDK-1	NDK-1	CELE_F25H2.5|F25H2.5	CELE_F25H2.5|F25H2.5	WBGENE00009119	WBGENE00009119	11731503:0018:LC
Q93646	Q9Y048	STN-1	DYB-1	F30A10.8	F47G6.1	WBGENE00006062	WBGENE00001115	14499607:0018:LC|21242290:0018:LC
Q93698	Q93698	GST-16	GST-16	CELE_F37B1.5|F37B1.5	CELE_F37B1.5|F37B1.5	WBGENE00001764	WBGENE00001764	PDB_1YQ1:0114:LC
Q94126	Q94126	CES-2	CES-2	ZK909.4	ZK909.4	WBGENE00000469	WBGENE00000469	23661758:0055:LC
Q94126	Q9NAE4	CES-2	ZIP-7	ZK909.4	CELE_Y51H4A.4|Y51H4A.4	WBGENE00000469	WBGENE00013100	23661758:0055:LC
Q94207	Q95QG4	SUP-36	PTL-1	CELE_F38A5.7|F38A5.7	CELE_F42G9.9|F42G9.9	WBGENE00018164	WBGENE00004212	24214340:0018:LC
Q94218	Q94218	ODR-8	ODR-8	F38A5.1	F38A5.1	WBGENE00018160	WBGENE00018160	29251776:0114:LC|27240952:0114:LC
Q94261	Q9N359	CIF-1	CSN-4	K08F11.3	Y55F3AM.15	WBGENE00019543	WBGENE00000816	17403899:0018:LC
Q94361	Q95017	GEI-17	UBC-9	W10D5.3	F29B9.6	WBGENE00001574	WBGENE00006706	31243051:0415:LC
Q94420	Q94420	MEL-26	MEL-26	ZK858.4	ZK858.4	WBGENE00003209	WBGENE00003209	13679922:0018:LC|23918937:0018:LC|16169482:0018:LC|23918937:0399:LC
