ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerStageID,ResourceStageID,LinkNumber,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom,,,
59,96,59,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,100,59,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,104,59,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,108,59,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,112,59,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,115,59,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,118,59,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,122,59,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,126,59,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,130,59,95,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,140,59,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
59,141,59,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,79,60,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,84,60,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,86,60,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,88,60,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,90,60,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,92,60,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,94,60,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,96,60,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,100,60,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,104,60,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,108,60,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,112,60,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,115,60,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,118,60,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,122,60,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,126,60,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,130,60,95,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,136,60,97,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,140,60,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
60,141,60,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,79,61,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,84,61,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,86,61,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,88,61,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,90,61,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,92,61,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,94,61,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,96,61,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,100,61,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,104,61,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,108,61,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,112,61,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,115,61,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,118,61,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,122,61,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,126,61,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,130,61,95,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,136,61,97,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,140,61,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,164,61,113,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
61,169,61,115,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
62,108,62,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
62,122,62,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
62,126,62,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
62,164,62,113,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
62,166,62,114,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
62,169,62,115,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,79,63,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,84,63,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,86,63,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,88,63,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,90,63,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,92,63,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,94,63,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,96,63,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,100,63,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,104,63,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,108,63,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,112,63,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,115,63,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,118,63,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,122,63,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,126,63,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,130,63,95,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,140,63,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
63,141,63,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,79,64,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,84,64,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,86,64,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,88,64,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,90,64,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,92,64,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,94,64,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,96,64,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,100,64,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,104,64,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,108,64,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,112,64,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,115,64,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,118,64,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,122,64,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,126,64,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,130,64,95,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,140,64,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,141,64,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
64,165,64,114,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
65,84,65,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
65,86,65,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
65,88,65,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
65,90,65,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
65,92,65,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
65,94,65,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
65,136,65,97,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,78,66,78,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,82,66,82,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,84,66,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,86,66,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,88,66,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,90,66,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,92,66,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,94,66,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,96,66,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,100,66,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,108,66,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,118,66,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,122,66,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,136,66,97,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,137,66,98,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,138,66,98,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,142,66,100,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,143,66,101,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,152,66,106,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,156,66,108,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,157,66,109,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,159,66,110,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,162,66,112,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,164,66,113,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,168,66,115,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,178,66,121,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
66,179,66,122,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,79,67,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,84,67,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,86,67,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,88,67,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,90,67,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,92,67,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,94,67,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,96,67,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,100,67,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,104,67,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,108,67,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,112,67,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,115,67,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,118,67,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,122,67,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,126,67,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,130,67,95,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,136,67,97,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,140,67,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
67,141,67,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
68,108,68,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
68,122,68,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
68,164,68,113,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
68,165,68,114,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
68,166,68,114,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
68,169,68,115,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
69,144,69,101,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
69,146,69,102,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
69,148,69,103,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
69,156,69,108,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
69,157,69,109,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
69,159,69,110,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
69,161,69,111,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,78,70,78,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,80,70,80,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,81,70,81,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,82,70,82,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,125,70,94,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,126,70,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,133,70,96,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,134,70,96,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,135,70,97,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,137,70,98,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,138,70,98,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,139,70,99,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,140,70,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,141,70,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,142,70,100,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,143,70,101,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,145,70,102,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,147,70,103,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,149,70,104,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,150,70,105,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,156,70,108,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,157,70,109,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,159,70,110,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,161,70,111,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,162,70,112,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,163,70,113,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,168,70,115,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,171,70,116,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,173,70,117,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,174,70,118,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,177,70,120,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,178,70,121,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,179,70,122,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
70,180,70,123,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,78,71,78,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,80,71,80,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,81,71,81,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,82,71,82,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,125,71,94,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,126,71,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,133,71,96,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,134,71,96,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,135,71,97,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,137,71,98,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,138,71,98,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,139,71,99,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,140,71,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,141,71,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,142,71,100,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,143,71,101,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,145,71,102,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,147,71,103,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,149,71,104,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,150,71,105,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,156,71,108,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,157,71,109,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,159,71,110,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,161,71,111,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,162,71,112,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,163,71,113,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,168,71,115,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,171,71,116,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,173,71,117,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,174,71,118,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,177,71,120,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,178,71,121,1,3,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,179,71,122,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
71,180,71,123,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,79,72,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,84,72,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,88,72,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,92,72,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,96,72,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,100,72,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,104,72,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,108,72,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,112,72,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,115,72,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,118,72,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,122,72,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,126,72,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,136,72,97,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,140,72,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,141,72,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,164,72,113,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,165,72,114,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,166,72,114,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
72,169,72,115,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
73,79,73,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
73,84,73,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
73,88,73,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
73,92,73,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
